model,year,mileage,tax,mpg,engineSize,price
 Santa Fe,2019,11,145,39.8,2.2,32500
 Santa Fe,2019,4995,145,39.8,2.2,32750
 Santa Fe,2019,623,145,42.8,2.2,32950
 Santa Fe,2019,5732,145,39.2,2.2,33799
 Santa Fe,2019,1173,145,39.2,2.2,33900
 Santa Fe,2019,6813,145,39.2,2.2,33950
 Santa Fe,2019,6363,145,42.8,2.2,33995
 Santa Fe,2019,1578,145,39.2,2.2,34000
 Santa Fe,2019,4000,145,39.2,2.2,34864
 Santa Fe,2019,100,145,39.2,2.2,35985
 Santa Fe,2019,5000,145,39.8,2.2,36495
 Santa Fe,2019,100,145,39.8,2.2,36995
 Santa Fe,2020,2500,145,39.2,2.2,34995
 Santa Fe,2020,2885,145,39.2,2.2,36999
 Tucson,2015,75000,200,46.3,2,12490
 Tucson,2015,21000,240,43.5,2,16750
 Tucson,2016,32184,125,57.6,1.7,12500
 Tucson,2016,40601,200,47.1,2,13250
 Tucson,2016,31828,125,57.6,1.7,13399
 Tucson,2016,42597,200,47.1,2,13499
 Tucson,2016,33925,240,43.5,2,13499
 Tucson,2016,18634,125,57.6,1.7,13789
 Tucson,2016,41498,240,43.5,2,13890
 Tucson,2016,20000,200,47.1,2,13995
 Tucson,2016,15758,125,57.6,1.7,13999
 Tucson,2016,18252,125,57.6,1.7,13999
 Tucson,2016,30300,125,57.6,1.7,14199
 Tucson,2016,39573,200,47.1,2,14490
 Tucson,2016,26600,200,47.1,2,14495
 Tucson,2016,25233,235,43.5,2,14499
 Tucson,2016,21656,200,47.1,2,14990
 Tucson,2016,20645,205,47.1,2,14999
 Tucson,2016,10682,125,57.6,1.7,15199
 Tucson,2016,18290,200,46.3,2,15200
 Tucson,2016,13396,240,43.5,2,15250
 Tucson,2016,35794,205,46.3,2,15270
 Tucson,2016,27867,200,47.1,2,15780
 Tucson,2016,20025,125,57.6,1.7,15800
 Tucson,2016,27458,200,46.3,2,15990
 Tucson,2016,8000,125,57.6,1.7,15995
 Tucson,2016,11472,125,57.6,1.7,15999
 Tucson,2016,38340,240,43.5,2,16250
 Tucson,2016,41455,240,43.5,2,16250
 Tucson,2016,31485,235,43.5,2,16485
 Tucson,2016,34100,200,47.1,2,16490
 Tucson,2016,28723,200,47.1,2,16498
 Tucson,2016,12163,200,46.3,2,16498
 Tucson,2016,22764,240,43.5,2,16980
 Tucson,2016,15550,205,47.1,2,17790
 Tucson,2016,40500,235,43.5,2,17995
 Tucson,2016,14884,235,43.5,2,18698
 Tucson,2016,20199,200,47.1,2,18999
 Tucson,2016,33943,200,46.3,2,20113
 Tucson,2017,33887,125,57.6,1.7,14100
 Tucson,2017,22000,145,46.3,2,14500
 Tucson,2017,12921,145,57.6,1.7,14900
 Tucson,2017,14092,145,57.6,1.7,14950
 Tucson,2017,36459,150,46.3,2,14990
 Tucson,2017,31470,200,46.3,2,15270
 Tucson,2017,28354,150,46.3,2,15490
 Tucson,2017,13800,145,57.6,1.7,15495
 Tucson,2017,15000,125,57.6,1.7,15995
 Tucson,2017,44013,235,43.5,2,16995
 Tucson,2017,12730,145,47.1,2,17695
 Tucson,2017,29275,240,43.5,2,18000
 Tucson,2017,35753,200,47.1,2,18495
 Tucson,2017,21477,145,47.1,2,18799
 Tucson,2017,23679,150,47.1,2,18899
 Tucson,2018,35226,145,47.1,2,15320
 Tucson,2018,27855,145,47.1,2,15815
 Tucson,2018,32250,145,47.1,2,15995
 Tucson,2018,38183,145,57.7,1.7,16040
 Tucson,2018,34719,145,47.1,2,16295
 Tucson,2018,14495,145,57.6,1.7,19490
 Tucson,2018,8700,145,47.1,1.6,19894
 Tucson,2018,20000,150,46.3,1.6,19970
 Tucson,2018,15327,145,43.5,2,20900
 Tucson,2018,18076,145,47.1,2,20949
 Tucson,2018,12193,145,47.1,2,20995
 Tucson,2018,7022,145,43.5,2,21590
 Tucson,2018,13139,145,46.3,1.6,22000
 Tucson,2018,12531,145,43.5,2,22995
 Tucson,2019,14690,145,47.1,1.6,21000
 Tucson,2019,11057,145,47.1,1.6,21750
 Tucson,2019,548,145,47.1,1.6,22495
 Tucson,2019,8100,145,46.3,1.6,22969
 Tucson,2019,3393,145,47.1,1.6,23490
 I20,2010,57476,30,64.2,1.4,3799
 I20,2013,49252,0,74.3,1.1,4670
 I20,2014,47278,20,68.9,1.4,5999
 I20,2015,25730,20,68.9,1.4,7361
 I20,2015,24000,20,68.9,1.4,7495
 I20,2016,88000,20,68.9,1.4,5490
 I20,2016,46164,20,68.9,1.4,6990
 I20,2017,21260,145,72.4,1.4,8295
 I20,2017,21640,150,68.9,1.4,8990
 I20,2018,20953,150,72.4,1.4,7991
 I30,2010,99000,30,62.8,1.6,2495
 I30,2012,65000,20,67.3,1.6,3495
 I30,2012,64008,30,64.2,1.6,5995
 I30,2013,88000,0,76.3,1.6,4495
 I30,2013,61000,0,76.3,1.6,4990
 I30,2013,61735,0,76.3,1.6,4998
 I30,2013,68728,0,76.3,1.6,5408
 I30,2013,58000,0,76.3,1.6,5499
 I30,2013,59039,0,74.3,1.6,5998
 I30,2013,47176,0,76.3,1.6,6000
 I30,2013,37367,30,64.2,1.6,7299
 I30,2014,107419,0,76.3,1.6,4291
 I30,2014,72986,0,76.3,1.6,5631
 I30,2014,46793,0,76.3,1.6,5849
 I30,2014,48130,0,76.3,1.6,6290
 I30,2014,46845,0,74.3,1.6,6925
 I30,2014,38703,0,76.3,1.6,7174
 I30,2015,124000,0,78.4,1.6,4492
 I30,2015,124000,0,78.4,1.6,4492
 I30,2015,51605,0,76.3,1.6,5750
 I30,2015,50700,0,78.4,1.6,6310
 I30,2015,40237,0,78.4,1.6,6498
 I30,2015,41000,0,78.4,1.6,6500
 I30,2015,51641,0,78.4,1.6,6691
 I30,2015,64365,0,78.4,1.6,6698
 I30,2015,37000,0,78.4,1.6,6699
 I30,2015,42307,0,78.4,1.6,6700
 I30,2015,54412,0,78.4,1.6,6799
 I30,2015,57541,0,78.4,1.6,6850
 I30,2015,59000,0,78.4,1.6,6885
 I30,2015,53825,0,78.4,1.6,6981
 I30,2015,50047,0,78.4,1.6,6990
 I30,2015,54063,0,78.4,1.6,6990
 I30,2015,43700,0,78.4,1.6,6992
 I30,2015,67212,0,78.4,1.6,6995
 I30,2015,54324,0,78.4,1.6,6998
 I30,2015,54755,0,78.4,1.6,6998
 I30,2015,67500,0,78.4,1.6,7000
 I30,2015,44236,0,78.4,1.6,7185
 I30,2015,48949,0,78.4,1.6,7198
 I30,2015,26247,0,78.4,1.6,7250
 I30,2015,39233,0,78.4,1.6,7275
 I30,2015,50221,0,78.4,1.6,7298
 I30,2015,59040,0,78.4,1.6,7298
 I30,2015,44929,0,78.4,1.6,7331
 I30,2015,40472,0,78.4,1.6,7490
 I30,2015,23760,0,78.4,1.6,7495
 I30,2015,38279,0,78.4,1.6,7498
 I30,2015,46142,0,78.4,1.6,7520
 I30,2015,33830,0,78.4,1.6,7560
 I30,2015,29786,20,72.4,1.6,7646
 I30,2015,47500,0,78.4,1.6,7695
 I30,2015,32398,0,78.4,1.6,7698
 I30,2015,35259,0,78.4,1.6,7698
 I30,2015,43022,0,78.4,1.6,7803
 I30,2015,27706,0,78.4,1.6,7998
 I30,2015,34978,0,78.4,1.6,7998
 I30,2015,21575,20,72.4,1.6,7998
 I30,2015,17673,0,78.4,1.6,7999
 I30,2015,29980,0,78.4,1.6,8250
 I30,2015,22992,0,78.4,1.6,8495
 I30,2015,27584,0,78.4,1.6,8495
 I30,2015,29590,0,78.4,1.6,8500
 I30,2015,27839,20,72.4,1.6,8899
 I30,2015,46761,20,72.4,1.6,8975
 I30,2015,23968,0,78.4,1.6,8990
 I30,2015,29900,20,72.4,1.6,8995
 I30,2015,34093,20,72.4,1.6,8998
 I30,2015,25686,20,72.4,1.6,9250
 I30,2015,30782,20,72.4,1.6,9290
 I30,2016,48975,0,78.4,1.6,7299
 I30,2016,56693,0,78.4,1.6,7498
 I30,2016,51236,20,72.4,1.6,7500
 I30,2016,38011,0,78.4,1.6,7637
 I30,2016,45985,0,78.4,1.6,7790
 I30,2016,47978,0,78.4,1.6,7985
 I30,2016,47014,0,78.4,1.6,7995
 I30,2016,51919,0,78.4,1.6,7995
 I30,2016,38705,0,78.4,1.6,7998
 I30,2016,41429,0,78.4,1.6,7998
 I30,2016,50167,0,78.4,1.6,7998
 I30,2016,73635,20,72.4,1.6,7999
 I30,2016,48655,0,78.4,1.6,8199
 I30,2016,30000,0,78.4,1.6,8250
 I30,2016,31026,0,78.4,1.6,8322
 I30,2016,20710,0,78.4,1.6,8390
 I30,2016,31362,20,72.4,1.6,8395
 I30,2016,24146,0,78.4,1.6,8495
 I30,2016,32361,0,78.4,1.6,8495
 I30,2016,41593,0,78.4,1.6,8498
 I30,2016,20153,0,78.4,1.6,8500
 I30,2016,44534,0,78.4,1.6,8595
 I30,2016,20000,0,78.4,1.6,8650
 I30,2016,25906,0,78.4,1.6,8680
 I30,2016,23261,0,78.4,1.6,8695
 I30,2016,28022,0,78.4,1.6,8698
 I30,2016,30266,0,78.4,1.6,8798
 I30,2016,31796,0,78.4,1.6,8798
 I30,2016,20457,0,78.4,1.6,8850
 I30,2016,17000,0,78.4,1.6,8900
 I30,2016,18257,0,78.4,1.6,8900
 I30,2016,33466,0,78.4,1.6,8990
 I30,2016,32025,0,78.4,1.6,8998
 I30,2016,53878,20,72.4,1.6,8999
 I30,2016,32795,0,78.4,1.6,9000
 I30,2016,23857,0,78.4,1.6,9298
 I30,2016,29412,0,78.4,1.6,9298
 I30,2016,26834,0,78.4,1.6,9300
 I30,2016,21944,0,78.4,1.6,9490
 I30,2016,37000,0,78.4,1.6,9495
 I30,2016,17784,0,78.4,1.6,9498
 I30,2016,18361,0,78.4,1.6,9498
 I30,2016,42310,20,72.4,1.6,9795
 I30,2016,26844,20,72.4,1.6,9855
 I30,2016,9671,0,78.4,1.6,9995
 I30,2016,51344,20,72.4,1.6,9995
 I30,2016,33298,20,72.4,1.6,9998
 I30,2016,31745,20,72.4,1.6,10485
 I30,2016,38594,0,78.4,1.6,11275
 I30,2017,27095,150,78.4,1.6,8250
 I30,2017,38206,145,78.4,1.6,8300
 I30,2017,61942,20,72.4,1.6,8450
 I30,2017,35073,150,78.4,1.6,8490
 I30,2017,18266,145,72.4,1.6,8985
 I30,2017,34590,0,78.4,1.6,9230
 I30,2017,52586,145,74.3,1.6,9298
 I30,2017,31456,150,72.4,1.6,9299
 I30,2017,32361,0,78.4,1.6,9498
 I30,2017,18539,145,78.4,1.6,9499
 I30,2017,32992,145,74.3,1.6,9499
 I30,2017,33860,145,74.3,1.6,9499
 I30,2017,34258,145,74.3,1.6,9499
 I30,2017,34817,145,74.3,1.6,9499
 I30,2017,34959,145,74.3,1.6,9499
 I30,2017,35138,145,74.3,1.6,9499
 I30,2017,35155,145,74.3,1.6,9499
 I30,2017,37069,145,74.3,1.6,9499
 I30,2017,37710,145,74.3,1.6,9499
 I30,2017,38982,145,74.3,1.6,9517
 I30,2017,43717,20,72.4,1.6,9698
 I30,2017,41477,145,74.3,1.6,9990
 I30,2017,48499,150,74.3,1.6,9990
 I30,2017,49035,145,74.3,1.6,9990
 I30,2017,40282,150,74.3,1.6,9995
 I30,2017,31546,145,74.3,1.6,10099
 I30,2017,32769,145,74.3,1.6,10120
 I30,2017,29664,145,74.3,1.6,10252
 I30,2017,22298,0,74.3,1.6,10290
 I30,2017,15359,145,72.4,1.6,10485
 I30,2017,17609,145,72.4,1.6,10485
 I30,2017,29304,145,74.3,1.6,10498
 I30,2017,25344,145,74.3,1.6,10698
 I30,2017,29840,145,74.3,1.6,10749
 I30,2017,20629,150,74.3,1.6,10780
 I30,2017,19273,145,74.3,1.6,10785
 I30,2017,19273,150,74.3,1.6,10785
 I30,2017,14027,145,72.4,1.6,10985
 I30,2017,21542,150,74.3,1.6,10995
 I30,2017,38002,20,72.4,1.6,10995
 I30,2017,18539,145,78.4,1.6,10999
 I30,2017,18228,0,74.3,1.6,10999
 I30,2017,16853,0,74.3,1.6,11799
 I30,2017,31083,145,74.3,1.6,12295
 I30,2017,30000,145,74.3,1.6,13995
 I30,2018,33811,145,74.3,1.6,9525
 I30,2018,12304,145,74.3,1.6,10600
 I30,2018,33294,145,74.3,1.6,10981
 I30,2018,12364,145,74.3,1.6,11250
 I30,2018,25289,145,74.3,1.6,11495
 I30,2018,11122,145,74.3,1.6,11498
 I30,2018,16174,145,74.3,1.6,11498
 I30,2018,11651,145,74.3,1.6,11500
 I30,2018,11513,145,74.3,1.6,11679
 I30,2018,15673,145,74.3,1.6,11695
 I30,2018,16337,150,74.3,1.6,11750
 I30,2018,5404,145,74.3,1.6,11998
 I30,2018,8337,145,74.3,1.6,11998
 I30,2018,12486,145,74.3,1.6,11998
 I30,2018,13901,145,74.3,1.6,11998
 I30,2018,21366,150,74.3,1.6,12299
 I30,2018,19416,150,74.3,1.6,12485
 I30,2018,4758,145,74.3,1.6,12498
 I30,2018,8404,145,74.3,1.6,12700
 I30,2019,14121,145,58.9,1.6,12998
 I30,2019,10065,145,60.1,1.6,13000
 I30,2019,16673,145,60.1,1.6,14699
 I30,2019,16673,145,60.1,1.6,14999
 I30,2019,1913,145,60.1,1.6,15160
 I30,2019,3000,145,60.1,1.6,15490
 I30,2019,4000,145,60.1,1.6,15995
 I30,2019,5636,145,58.9,1.6,15995
 I30,2019,12540,145,58.9,1.6,16495
 I30,2019,4652,145,58.9,1.6,17999
 I30,2020,6000,150,60.1,1.6,17999
 I40,2013,76698,30,62.8,1.7,5495
 I40,2013,83898,30,65.7,1.7,5995
 I40,2013,66300,150,55.4,1.7,6495
 I40,2013,50438,30,62.8,1.7,6995
 I40,2013,58232,30,65.7,1.7,7191
 I40,2014,59200,30,65.7,1.7,6490
 I40,2014,63458,30,62.8,1.7,6895
 I40,2014,46152,30,62.8,1.7,7498
 I40,2014,51515,30,62.8,1.7,7498
 I40,2014,38406,30,62.8,1.7,7600
 I40,2014,66600,150,55.4,1.7,7880
 I40,2014,38589,30,62.8,1.7,8998
 I40,2014,76531,30,55.4,1.7,8999
 I40,2015,101500,20,67.3,1.7,5500
 I40,2015,54000,30,65.7,1.7,6990
 I40,2015,68969,20,67.3,1.7,7050
 I40,2015,56577,30,65.7,1.7,7357
 I40,2015,41050,30,65.7,1.7,7480
 I40,2015,61599,30,65.7,1.7,7640
 I40,2015,59508,30,65.7,1.7,7830
 I40,2015,58915,30,65.7,1.7,8000
 I40,2015,53441,30,62.8,1.7,8000
 I40,2015,22000,20,67.3,1.7,8495
 I40,2015,50500,20,67.3,1.7,8499
 I40,2015,31979,30,65.7,1.7,8700
 I40,2015,62106,125,60.1,1.7,8750
 I40,2015,53730,30,65.7,1.7,8854
 I40,2015,43492,30,62.8,1.7,8995
 I40,2015,41000,30,65.7,1.7,8999
 I40,2015,43000,20,67.3,1.7,9000
 I40,2015,34572,30,65.7,1.7,9298
 I40,2015,25350,20,67.3,1.7,9495
 I40,2015,33036,20,67.3,1.7,9498
 I40,2015,39779,30,65.7,1.7,9995
 I40,2015,20660,30,65.7,1.7,10690
 I40,2016,100000,30,65.7,1.7,7393
 I40,2016,39703,20,67.3,1.7,8270
 I40,2016,47613,20,67.3,1.7,8490
 I40,2016,67654,30,65.7,1.7,8599
 I40,2016,56001,20,67.3,1.7,8731
 I40,2016,61554,125,60.1,1.7,8770
 I40,2016,50820,20,67.3,1.7,8791
 I40,2016,38572,20,67.3,1.7,8850
 I40,2016,48687,30,65.7,1.7,8995
 I40,2016,38259,30,65.7,1.7,9698
 I40,2016,40134,30,65.7,1.7,9698
 I40,2016,15887,30,65.7,1.7,9700
 I40,2016,40741,30,65.7,1.7,9798
 I40,2016,32309,20,67.3,1.7,9995
 I40,2016,36084,30,65.7,1.7,10491
 I40,2016,26775,30,65.7,1.7,10498
 I40,2016,45142,30,65.7,1.7,10610
 I40,2016,14335,20,67.3,1.7,10995
 I40,2016,29347,30,65.7,1.7,10998
 I40,2016,34504,30,65.7,1.7,11094
 I40,2016,31731,30,65.7,1.7,11180
 I40,2016,17809,30,65.7,1.7,11600
 I40,2016,34504,30,65.7,1.7,11695
 I40,2016,18340,125,60.1,1.7,12995
 I40,2017,59626,150,67.3,1.7,8998
 I40,2017,22172,150,67.3,1.7,9490
 I40,2017,38472,145,65.7,1.7,9999
 I40,2017,39317,145,67.3,1.7,10000
 I40,2017,15326,145,65.7,1.7,10277
 I40,2017,34328,145,67.3,1.7,10465
 I40,2017,33763,145,65.7,1.7,10498
 I40,2017,30000,150,67.3,1.7,10995
 I40,2017,30043,145,65.7,1.7,11120
 I40,2017,26500,150,65.7,1.7,11388
 I40,2017,14799,150,67.3,1.7,11470
 I40,2017,17393,145,65.7,1.7,11485
 I40,2017,17393,145,65.7,1.7,11485
 I40,2017,33067,145,65.7,1.7,11485
 I40,2017,21743,145,65.7,1.7,11495
 I40,2017,9225,145,65.7,1.7,11690
 I40,2017,22336,145,65.7,1.7,11698
 I40,2017,27000,30,65.7,1.7,11999
 I40,2017,27145,145,65.7,1.7,12450
 I40,2017,8613,145,65.7,1.7,13751
 I40,2018,17755,145,67.3,1.7,11985
 I40,2018,30734,145,67.3,1.7,12295
 I40,2018,37653,150,60.1,1.7,13491
 I40,2018,33195,145,65.7,1.7,14682
 I40,2019,12000,145,54.3,1.6,15495
 I40,2019,10,145,54.3,1.6,16000
 I40,2019,30,145,54.3,1.6,16000
 I40,2019,30,145,54.3,1.6,16000
 I40,2019,30,145,54.3,1.6,16000
 I40,2019,30,145,54.3,1.6,16000
 I40,2019,30,145,54.3,1.6,16000
 I40,2019,3472,145,54.3,1.6,16000
 I40,2019,10,145,52.3,1.6,16000
 I40,2019,20,145,52.3,1.6,16000
 I40,2019,20,145,52.3,1.6,16000
 I40,2019,10,145,52.3,1.6,16500
 I40,2019,10,145,52.3,1.6,16500
 I40,2019,10,145,52.3,1.6,19995
 I800,2016,40000,300,37.7,2.5,13495
 I800,2016,48859,300,37.7,2.5,13695
 I800,2016,30283,300,37.7,2.5,13990
 I800,2017,44812,300,37.7,2.5,12819
 I800,2017,34492,145,37.7,2.5,14000
 I800,2017,29100,300,37.7,2.5,14777
 I800,2018,39010,145,37.7,2.5,13992
 I800,2018,37620,150,37.7,2.5,14000
 I800,2018,38090,145,37.7,2.5,14000
 I800,2018,38560,145,37.7,2.5,14000
 I800,2018,37902,145,37.7,2.5,14495
 I800,2018,39101,145,37.7,2.5,14790
 I800,2018,38093,145,37.7,2.5,14794
 I800,2018,37530,145,37.7,2.5,14795
 I800,2018,38984,150,37.7,2.5,14900
 I800,2018,34168,145,37.7,2.5,15000
 I800,2018,38330,150,37.7,2.5,15480
 I800,2018,30727,145,31.7,2.5,15489
 I800,2018,32997,145,37.7,2.5,15495
 I800,2018,36164,145,28,2.5,15498
 I800,2018,36759,145,28,2.5,15498
 I800,2018,37485,145,28,2.5,15498
 I800,2018,33173,145,37.7,2.5,15499
 I800,2018,20896,145,37.7,2.5,15701
 I800,2018,33387,150,31.7,2.5,15800
 I800,2018,33389,145,31.7,2.5,15838
 I800,2018,31007,145,31.7,2.5,15949
 I800,2018,32235,145,28,2.5,15998
 I800,2018,36815,145,28,2.5,15998
 I800,2018,37324,145,28,2.5,15998
 I800,2018,38520,145,28,2.5,15998
 I800,2018,33113,145,31.7,2.5,16280
 I800,2018,33887,145,31.7,2.5,16299
 I800,2018,33610,145,31.7,2.5,16459
 I800,2018,22756,145,31.7,2.5,16895
 I800,2018,32000,145,37.7,2.5,17000
 I800,2018,26283,145,31.7,2.5,17495
 I800,2019,21457,145,31.7,2.5,16199
 I800,2019,3844,145,31.7,2.5,17750
 I800,2019,17972,145,28,2.5,17998
 I800,2019,19357,145,31.7,2.5,18000
 I800,2019,17124,150,31.7,2.5,18430
 I800,2019,16464,150,31.7,2.5,18440
 I800,2019,14329,150,31.7,2.5,18490
 I800,2019,5137,145,31.7,2.5,18497
 I800,2019,13312,150,31.7,2.5,18499
 I800,2019,15997,150,31.7,2.5,18499
 I800,2019,14674,145,31.7,2.5,18500
 I800,2019,16232,145,31.7,2.5,18550
 I800,2019,4266,145,31.7,2.5,18985
 I800,2019,15492,145,31.7,2.5,18990
 I800,2019,11872,145,31.7,2.5,19995
 I800,2019,2544,145,31.7,2.5,19998
 I800,2019,7761,145,31.7,2.5,19998
 I800,2019,6483,145,31.7,2.5,20498
 I800,2019,4054,145,31.7,2.5,20698
 I800,2019,2573,145,31.7,2.5,20998
 I800,2019,4234,145,31.7,2.5,21290
 I800,2019,2804,145,28,2.5,21498
 I800,2019,2269,145,31.7,2.5,22998
 I800,2019,1200,145,31.7,2.5,23995
 I800,2019,100,145,31.7,2.5,24995
 Santa Fe,2010,72570,260,41.5,2.2,6495
 Santa Fe,2010,72000,260,41.5,2.2,6995
 Santa Fe,2011,130000,265,41.5,2.2,5395
 Santa Fe,2013,55998,200,46.3,2.2,10149
 Santa Fe,2014,50425,200,46.3,2.2,11830
 Santa Fe,2014,52236,205,46.3,2.2,13991
 Santa Fe,2014,55000,200,46.3,2.2,14500
 Santa Fe,2015,61798,205,46.3,2.2,12999
 Santa Fe,2015,54963,200,46.3,2.2,13998
 Santa Fe,2015,25770,200,46.3,2.2,14498
 Santa Fe,2015,50715,200,46.3,2.2,15000
 Santa Fe,2015,21998,200,46.3,2.2,15990
 Santa Fe,2016,52265,200,47.1,2.2,15299
 Santa Fe,2016,37444,205,46.3,2.2,15400
 Santa Fe,2016,32696,200,46.3,2.2,15995
 Santa Fe,2016,39979,200,47.1,2.2,16470
 Santa Fe,2016,44905,200,47.1,2.2,16498
 Santa Fe,2016,20578,200,47.1,2.2,17000
 Santa Fe,2016,23828,200,47.1,2.2,17298
 Santa Fe,2016,10200,200,46.3,2.2,17390
 Santa Fe,2016,11255,200,46.3,2.2,17390
 Santa Fe,2016,21972,200,47.1,2.2,17450
 Santa Fe,2016,10236,200,47.1,2.2,17790
 Santa Fe,2016,34284,200,47.1,2.2,18491
 Santa Fe,2016,25976,200,47.1,2.2,19360
 Santa Fe,2016,14785,200,46.3,2.2,19797
 Santa Fe,2016,19454,200,47.1,2.2,20995
 Santa Fe,2017,39606,200,47.1,2.2,14900
 Santa Fe,2017,48034,205,47.1,2.2,15998
