LotArea,TotalBsmtSF,GrLivArea,GarageArea,SalePrice
8320,770,1582,520,185900
13478,1722,2296,842,451950
6600,816,816,816,138000
4435,848,848,420,140000
7990,924,924,280,110000
11302,1814,1826,758,319000
3600,684,1368,216,114504
3922,1258,1402,648,194201
12984,1430,1647,621,217500
1950,716,1556,452,151000
10927,1058,1904,736,275000
9000,780,1375,544,141000
10041,908,1915,506,220000
3182,600,1200,480,151000
12803,1494,1494,530,221000
13600,768,1986,486,205000
12464,1040,1040,576,152000
7800,896,2008,230,225000
12168,965,3194,380,359100
7943,1029,1029,261,118500
11050,1440,2153,736,313000
10395,1032,1032,564,148000
11885,1299,1872,531,261500
8800,936,1054,480,137500
7861,783,1509,393,183200
7227,832,832,528,105500
11694,1822,1828,774,314813
12244,1482,2262,749,305000
10800,1522,2614,624,240000
7064,980,980,484,135000
2117,756,1512,440,168500
10400,732,1790,484,165150
10000,1116,1116,440,160000
12342,978,1422,286,139900
9600,1156,1520,364,153000
11606,1040,2080,504,135000
9020,1248,1350,520,168500
9000,636,1750,240,124000
4590,1554,1554,627,209500
11900,1386,1411,544,82500
9250,1056,1056,260,139400
6979,1056,1056,576,144000
6000,811,1387,256,93000
3982,1520,1567,648,264561
12677,1518,1518,588,274000
7050,1057,1929,650,226000
13860,1952,2704,538,345000
10793,780,1620,462,152000
9187,1766,1766,478,370878
10530,981,981,576,143250
10452,1094,1094,495,155000
7700,756,1839,442,155000
8125,813,1665,562,205950
9084,755,1510,296,108000
8750,880,1716,512,191000
10320,756,1469,216,135000
10437,2109,2113,839,350000
1680,525,1092,264,88000
10007,1053,1053,312,145500
7200,776,1502,270,149000
17503,912,1458,330,97500
9937,1486,1486,480,167000
12384,793,1935,550,197900
46589,1629,2448,711,402000
13560,1392,1392,576,110000
10012,1138,1181,588,137500
20896,2077,2097,1134,423000
11194,1406,1936,504,230500
18450,1021,2380,596,129000
8125,1408,1679,575,193500
14175,1188,1437,576,168000
11600,700,1180,252,137500
8633,738,1476,540,173500
6629,672,1369,300,103600
11250,1208,1208,546,165000
14442,1477,1839,416,257500
9200,1136,1136,384,140000
2289,855,1441,440,148500
9600,1095,1774,779,87000
9022,768,792,240,109500
11844,2046,2046,834,372500
9945,988,988,572,128500
8012,923,923,264,143000
4500,793,1520,281,159434
2887,1291,1291,431,173000
11248,1626,1668,702,285000
16770,1195,1839,486,221000
5062,1190,2090,577,207500
10207,874,1761,578,227875
5105,551,1102,480,148800
8089,1419,1419,567,392000
7577,1362,1362,460,194700
4426,848,848,420,141000
21535,2444,4316,832,755000
26178,1210,2519,628,335000
5400,1073,1073,326,108480
6120,927,1539,576,141500
13811,1112,1137,551,176000
6000,616,616,205,89000
6420,980,1148,308,123500
8450,894,894,336,138500
4282,1391,1391,530,196000
14331,1800,1800,765,312500
9600,1164,1164,528,140000
12438,1234,2576,666,361919
7630,360,1812,672,140000
8400,1473,1484,606,213000
115149,1643,1824,739,302000
6240,1324,1324,550,254000
9018,728,1456,400,179540
7162,876,904,408,109900
8712,859,1178,384,102776
4671,1228,1228,472,189000
9873,960,960,576,129000
13517,725,1479,475,130500
10140,1064,1350,478,165000
10800,718,2554,704,159500
10000,1176,1178,439,157000
10542,1311,2418,983,341000
9920,971,971,300,128500
6563,1742,1742,564,275000
4426,848,848,420,143000
8120,864,864,463,124500
8172,941,1470,548,135000
13286,1698,1698,768,320000
6960,864,864,660,120500
21695,880,1680,540,222000
7314,1232,1232,632,194500
11475,1584,1776,888,110000
6240,780,1208,539,103000
5389,1595,1616,608,236500
9590,868,1146,438,187500
11404,1153,2031,541,222500
10000,864,1144,264,131400
8978,948,948,300,108000
10800,880,1768,320,163000
10463,893,1801,800,239900
9313,864,1728,572,190000
9600,264,1432,360,132000
6768,912,912,288,142000
8450,1349,1349,539,179000
12886,520,1464,480,175000
5395,1337,1337,462,180000
8963,1142,2715,831,299800
8795,952,2256,554,236000
11700,1240,2640,864,265979
10593,1720,1720,527,260400
7750,660,1320,400,162000
9236,1479,1494,576,217000
10240,1030,2098,878,275500
7930,1026,1026,440,156000
3230,729,1471,440,172500
10769,866,1768,578,212000
11616,672,1386,440,158900
2280,744,1501,440,179400
12257,1318,2531,752,290000
9100,864,864,300,127500
6911,1145,1301,440,100000
8640,756,1547,614,215200
9430,1252,2365,856,337000
9549,1494,1494,481,270000
14587,1498,1506,592,264132
10421,980,1714,496,196500
12508,983,1750,423,160000
9100,1860,1836,484,216837
53504,1650,3279,841,538000
7252,858,858,576,134900
8877,836,1220,396,102000
7819,1029,1117,672,107000
10150,912,912,275,114500
14226,1935,1973,895,395000
4500,1204,1204,412,162000
11210,1614,1614,865,221500
13350,864,894,440,142500
10530,975,1004,504,135000
7875,1237,1253,402,176000
7153,761,1603,484,175900
16285,1413,1430,605,187100
9101,1097,1110,602,165500
9790,1372,1342,457,161500
10800,686,1652,416,139000
10142,956,2084,618,233000
6000,901,901,281,107900
12205,832,2087,444,187500
3182,1145,1145,397,160200
11333,1029,1062,539,146800
9920,1117,2013,455,269790
9158,1496,1496,474,225000
10832,712,1895,409,194500
8400,650,1564,476,171000
8197,660,1285,528,143500
7677,773,773,240,110000
13518,1926,3140,820,485000
7200,731,1768,240,175000
12798,616,1688,603,200000
4800,1196,1196,440,109900
8199,728,1456,410,189000
13891,1734,2822,1020,582933
9000,936,1128,286,118000
12274,1417,1428,554,227680
9750,980,980,384,135500
21384,1324,1576,528,223500
13400,1024,1086,484,159950
8100,849,2138,360,106000
10140,1040,1309,484,181000
4438,848,848,420,144500
8712,540,1044,504,55993
9750,1442,1442,301,157900
8248,686,1250,280,116000
12137,1649,1661,598,224900
11425,1008,1008,275,137000
13265,1568,1689,857,271000
8816,1010,1052,440,155000
6371,1358,1358,484,224000
7226,798,1640,595,183000
6000,936,936,576,93000
12394,847,1733,433,225000
9900,778,1489,240,139500
11216,1489,1489,776,232600
14803,2078,2084,1220,385000
8529,1454,1434,527,189000
28698,1013,2126,538,185000
2544,600,1223,480,147400
11900,1392,1392,458,166000
3180,600,1200,480,151000
9548,941,1829,613,237000
10004,1516,1516,472,167000
7875,1144,1144,456,139950
9600,1067,1067,436,128000
8100,1559,1559,812,153500
1680,483,987,264,100000
9525,1099,1099,352,144000
11767,768,1200,240,130500
12155,672,1482,400,140000
10440,650,1539,686,157500
9020,1127,1165,490,174900
12665,876,1416,720,153900
16647,1390,1701,611,171000
9317,740,1775,425,213000
15523,864,864,338,133500
45600,907,2358,360,240000
9600,528,1855,512,187000
4435,848,848,420,131500
3196,1273,1456,400,215000
7128,918,1646,240,164000
12095,1127,1445,645,158000
17920,1763,1779,454,170000
6897,1040,1040,260,127000
10970,940,1026,576,147000
8125,702,1481,343,174000
10400,1090,1370,479,152000
11029,1054,2654,619,250000
7642,912,1426,216,189950
11625,1039,1039,504,131500
9672,1040,1097,480,152000
7931,1148,1148,672,132500
8640,1372,1372,529,250580
8750,1002,1002,902,148500
10656,1638,1646,870,248900
6970,1040,1120,544,129000
9938,1050,1949,574,236000
6600,894,894,308,109500
8750,804,1682,523,200500
8892,105,910,414,116000
12144,832,1268,288,133000
5720,676,1131,200,66500
9000,1184,2610,550,303477
25286,1064,1040,648,132250
8834,1462,2224,738,350000
11782,1109,1155,576,148000
7000,864,864,336,136500
7024,1090,1090,450,157000
13758,1156,1717,400,187500
9636,808,1593,389,178000
6204,795,2230,440,118500
7150,892,892,288,100000
5119,1698,1709,506,328900
8393,1626,1712,588,145000
16466,816,1393,300,135500
15865,2217,2217,621,268000
12160,1505,1505,505,149500
8064,672,924,576,122900
11184,918,1683,440,172500
8414,1059,1068,264,154500
13284,1383,1383,354,165000
7056,780,1796,483,140000
8765,951,951,327,106500
12919,2330,2364,820,611657
6993,912,1236,288,135000
7340,858,858,684,110000
8712,992,1306,756,153000
7875,783,1509,393,180000
14859,1670,1670,690,240000
6173,876,902,288,125500
9920,1056,1063,280,128000
13501,1623,1636,865,255000
11500,1017,2057,180,250000
8885,864,902,484,131000
12589,742,1484,390,174000
11600,1105,2274,480,154300
9286,1268,1268,252,143500
6120,768,1015,450,88000
6270,1001,2002,871,145000
3000,612,1224,528,173733
2001,546,1092,286,75000
9000,480,480,308,35311
17140,1134,1229,284,135000
13125,1104,2127,833,238000
11029,1184,1414,601,176500
8462,928,1721,471,201000
10237,1316,1316,397,169990
8012,1604,1617,533,193000
10240,1686,1686,612,207500
15611,1126,1126,540,175000
11999,1181,2374,656,285000
9900,832,1978,486,176000
11838,1753,1788,522,236500
13006,964,2236,642,222000
8925,1466,1466,610,201000
9100,925,925,429,117500
11670,1905,1905,788,320000
8487,1500,1500,570,190000
27650,585,2069,505,242000
5825,600,747,528,79900
10083,1176,1200,555,184900
9675,1113,1971,689,253000
8760,1391,1962,868,239799
24090,1032,2403,349,244400
12640,1728,1728,574,150900
8755,992,2060,390,214000
25000,1632,1632,576,143000
14375,819,1344,525,137500
8820,1088,1869,456,124900
8163,1144,1144,796,143000
14536,1616,1629,808,270000
14006,936,1776,474,192500
9360,1161,1381,676,197500
7200,864,864,720,129000
7800,828,965,300,119900
7200,768,768,396,133900
11075,784,1968,530,172000
7136,979,1958,492,145000
1300,561,1229,462,124000
7420,1057,1057,576,132000
8450,1337,1337,531,185000
2572,696,1416,484,155000
12227,1330,2872,619,272000
2308,804,1548,440,155000
11923,1800,1800,702,239000
11316,817,1894,510,214900
10237,783,1484,393,178900
9600,728,1308,256,160000
7390,1098,1098,260,135000
10382,588,1095,264,140000
2268,764,1626,474,173000
7892,918,918,264,99500
11639,1428,1428,480,182000
11414,728,2019,532,167500
2651,673,1382,490,165000
4274,1241,1241,569,199900
9450,894,894,400,110000
8816,1121,1121,480,139000
12122,944,999,588,178400
12203,1225,2612,676,336000
3182,1266,1266,388,159895
11250,1128,2290,779,255900
10880,1164,1164,240,125000
5310,485,1635,255,117000
10159,1930,1940,606,395192
12046,848,2030,551,195000
8125,770,1576,614,197000
9452,1396,2392,870,348000
17671,916,1742,424,168000
9760,822,1851,440,187000
8846,750,1500,564,173900
12456,1700,1718,786,337500
4712,747,1230,305,121600
10659,1050,1050,368,136500
11717,1442,1442,615,185000
9786,1007,1077,210,91000
6762,1187,1208,632,206000
5400,691,691,216,86000
11957,1574,1574,824,232000
11500,1680,1680,528,136905
3182,1346,1504,457,181000
8385,985,985,328,149900
12155,1657,1657,484,163500
2217,546,1092,286,88000
12118,1710,1710,550,240000
21286,720,1271,312,135000
10592,602,1502,180,165000
7200,1022,1022,280,85000
11664,1082,1082,240,119200
8400,810,1665,528,227000
11883,1504,1504,478,203000
5814,1220,1360,565,187500
10784,384,1472,402,160000
3013,1362,1506,440,213490
7024,1132,1132,451,176000
7406,1199,1220,632,194000
9439,912,1248,160,87000
3182,1346,1504,437,191000
15498,1565,2898,665,287000
7700,882,882,461,112500
9300,1268,1264,461,167500
9520,1638,1646,800,293077
9492,768,1376,240,105000
1680,672,1218,264,118000
15863,824,3082,672,197000
14541,1338,2520,796,310000
8125,1654,1654,900,230000
6305,920,954,240,119750
12898,1620,1620,912,315500
9240,1055,2263,905,287000
1477,630,630,286,80000
13125,1134,1803,484,155000
9130,800,1632,484,173000
5381,1306,1306,624,196000
11839,1475,2329,514,262280
9600,2524,2524,542,278000
16056,1992,2868,716,556581
9245,990,990,672,145000
8993,1302,1302,436,176485
11175,1316,1316,440,200141
9500,816,1977,540,165000
8562,1216,1526,364,144500
11367,1065,1989,586,255000
11361,1193,1523,478,180000
7052,1364,1364,484,185850
29959,973,1850,467,248000
11308,1104,2184,836,335000
11275,854,1991,432,220000
4920,1338,1338,582,213500
18000,894,894,1248,81000
13600,662,2337,560,90000
6000,1103,1103,440,110500
11000,1154,1154,480,154000
14000,1306,2260,533,328000
7837,799,1571,380,178000
9760,780,1611,442,167900
3964,942,2521,576,151400
9600,845,893,576,135000
10152,1048,1048,286,135000
11700,727,1556,441,154000
7585,810,1456,280,91500
7950,690,1426,440,159500
8556,1240,1240,826,194000
13125,800,1740,240,219500
10800,796,1466,566,170000
15870,1096,1096,299,138800
4435,848,848,420,155900
8775,990,990,299,126000
11040,1258,1258,528,145000
7500,1040,1040,308,133000
8749,1459,1459,527,192000
8800,1251,1251,461,160000
13031,691,1498,409,187500
9069,936,996,564,147000
1974,546,1092,286,83500
10574,1082,1953,1043,252000
2522,970,1709,380,137500
3316,1247,1247,550,197000
2160,600,1252,462,160000
8400,1181,1694,576,136500
9230,864,1200,884,146000
5868,936,936,308,129000
9317,1314,1314,440,176432
3696,1074,1088,461,170000
6000,672,1324,240,128000
11880,1271,1601,478,157000
8400,290,438,246,60000
9758,950,950,280,119500
7000,1010,1134,254,135000
8910,655,1194,539,159500
2016,630,1302,440,106000
12256,1463,2622,712,325000
10357,910,1442,719,179900
23257,868,2021,422,274725
8063,924,1690,463,181000
11362,1836,1836,862,280000
8000,773,1658,431,188000
10480,803,1964,483,205000
7100,816,816,308,129900
8923,1008,1008,240,134500
5400,833,833,326,117000
12085,1734,1734,928,318000
7750,408,1419,527,184100
9764,894,894,450,130000
13825,533,1601,300,140000
7560,1040,1040,286,133700
8263,1012,1012,308,118400
10084,1552,1552,782,212900
8926,672,960,288,112000
9125,384,1482,392,163900
10434,1005,1005,672,115000
3684,1373,1555,660,174000
